# Extracted from go version -m extra/sidecar/sing-box.exe
# Binary SHA-256 (resources-lock): db0d779948214cf761011d154c3a5da36df20394fa01a9fc798f1dc39fe9d183
# Go toolchain: go1.26.4
# Module: github.com/sagernet/sing-box@v1.13.14
# Format: path	version	sum
dep	go4.org/netipx	v0.0.0-20231129151722-fdeea329fbba	h1:0b9z3AuHCjxk0x/opv64kcgZLBseWJUpBw5I82+2U4M=
dep	golang.org/x/crypto	v0.48.0	h1:/VRzVqiRSggnhY7gNRxPauEQ5Drw9haKdM0jqfcCFts=
dep	golang.org/x/exp	v0.0.0-20251219203646-944ab1f22d93	h1:fQsdNF2N+/YewlRZiricy4P1iimyPKZ/xwniHj8Q2a0=
dep	golang.org/x/mod	v0.33.0	h1:tHFzIWbBifEmbwtGz65eaWyGiGZatSrT9prnU8DbVL8=
dep	golang.org/x/net	v0.50.0	h1:ucWh9eiCGyDR3vtzso0WMQinm2Dnt8cFMuQa9K33J60=
dep	golang.org/x/oauth2	v0.34.0	h1:hqK/t4AKgbqWkdkcAeI8XLmbK+4m4G5YeQRrmiotGlw=
dep	golang.org/x/sync	v0.19.0	h1:vV+1eWNmZ5geRlYjzm2adRgW2/mcpevXNg50YZtPCE4=
dep	golang.org/x/sys	v0.41.0	h1:Ivj+2Cp/ylzLiEU89QhWblYnOE9zerudt9Ftecq2C6k=
dep	golang.org/x/term	v0.40.0	h1:36e4zGLqU4yhjlmxEaagx2KuYbJq3EwY8K943ZsHcvg=
dep	golang.org/x/text	v0.34.0	h1:oL/Qq0Kdaqxa1KbNeMKwQq0reLCCaFtqu2eNuSeNHbk=
dep	golang.org/x/time	v0.11.0	h1:/bpjEDfN9tkoN/ryeYHnv5hcMlc8ncjMcM4XBk5NWV0=
dep	golang.zx2c4.com/wintun	v0.0.0-20230126152724-0fa3db229ce2	h1:B82qJJgjvYKsXS9jeunTOisW56dUokqW/FOteYJJ/yg=
dep	golang.zx2c4.com/wireguard/wgctrl	v0.0.0-20241231184526-a9ab2273dd10	h1:3GDAcqdIg1ozBNLgPy4SLT84nfcBjr6rhGtXYtrkWLU=
dep	golang.zx2c4.com/wireguard/windows	v0.5.3	h1:On6j2Rpn3OEMXqBq00QEDC7bWSZrPIHKIus8eIuExIE=
dep	lukechampine.com/blake3	v1.3.0	h1:sJ3XhFINmHSrYCgl958hscfIa3bw8x4DqMP3u1YvoYE=
